season,n,position,n_adp,k,rho_model,top_model,pts_top_model,rho_model_no_bonus,top_model_no_bonus,pts_top_model_no_bonus,rho_b2_prior_points,top_b2_prior_points,pts_top_b2_prior_points,rho_b3_wavg_ppg,top_b3_wavg_ppg,pts_top_b3_wavg_ppg,rho_b1_adp,mae_games,bias_games,mae_naive_games,mae_targets,bias_targets,mae_naive_targets,mae_receptions,bias_receptions,mae_naive_receptions,mae_rec_yards,bias_rec_yards,mae_naive_rec_yards,mae_rec_tds,bias_rec_tds,mae_naive_rec_tds,bonus_actual_rec,bonus_actual_rush,bonus_actual_pass,bonus_pred_total,bonus_actual_total,top_b1_adp,pts_top_b1_adp,adpsub_rho_model,adpsub_top_model,adpsub_pts_top_model,adpsub_rho_model_no_bonus,adpsub_top_model_no_bonus,adpsub_pts_top_model_no_bonus,adpsub_rho_b2_prior_points,adpsub_top_b2_prior_points,adpsub_pts_top_b2_prior_points,adpsub_rho_b3_wavg_ppg,adpsub_top_b3_wavg_ppg,adpsub_pts_top_b3_wavg_ppg,adpsub_rho_b1_adp,adpsub_top_b1_adp,adpsub_pts_top_b1_adp
2014,200,WR,0,30,0.7086603572861296,0.5666666666666667,174.7,0.7080879930542893,0.5666666666666667,174.7,0.5344157156650918,0.4666666666666667,161.10333333333332,0.4746354299631631,0.5666666666666667,173.8233333333333,,4.420987606411414,-0.1756842187093538,4.715,27.918239441362097,-0.34252714457114963,34.69,16.98571794581703,-1.2502809616369803,20.25,230.11299219042903,-11.585572432284074,274.97,1.7983742429983527,-0.060567670648746345,2.235,241.5,0.0,0.0,252.99748755835807,241.5,,,,,,,,,,,,,,,,,
2015,199,WR,0,30,0.7300223369761571,0.6,166.15866666666665,0.7295102786277738,0.6,166.15866666666665,0.643600770645367,0.5,157.57333333333332,0.5369290766302856,0.5333333333333333,161.87333333333336,,4.042912657168995,0.6982046350992986,4.351758793969849,25.018151935263006,1.2359138670363152,28.71356783919598,15.34954349521468,0.687691041288528,17.386934673366834,208.5776944410241,4.1144900018416,232.5175879396985,1.8139836220422372,-0.15973785576070337,1.9698492462311559,228.0,0.0,0.0,235.1163546151034,228.0,,,,,,,,,,,,,,,,,
2016,202,WR,0,30,0.6806530245330786,0.5333333333333333,147.34333333333333,0.6790773090485503,0.5333333333333333,147.34333333333333,0.5459416301573978,0.5666666666666667,150.02666666666667,0.4944151292238921,0.7,167.79,,4.580685451792337,-0.028842279339296662,5.01980198019802,26.020463561949075,-1.6337825738217329,29.35148514851485,16.426876654726335,-1.3007596421460412,18.50990099009901,221.35687136197723,-9.417539107222447,250.0049504950495,1.6263721931591333,-0.03568987936504521,2.123762376237624,193.5,2.5,0.0,213.3723444111289,196.0,,,,,,,,,,,,,,,,,
2017,214,WR,0,30,0.6822452220644697,0.5333333333333333,139.1533333333333,0.6818926299490699,0.5333333333333333,139.1533333333333,0.6126577171853311,0.5333333333333333,142.77466666666666,0.4728172396371664,0.5666666666666667,137.34133333333335,,4.230615785732502,0.37660778762386343,4.892523364485982,24.59964659136202,2.4459028631146054,27.64485981308411,15.011658494805273,1.7468563204624636,16.66822429906542,200.88278111479514,21.56104138433683,220.1822429906542,1.5587403786303966,0.20592815839449788,1.7009345794392523,153.0,0.0,0.0,197.20898345917325,153.0,,,,,,,,,,,,,,,,,
2018,201,WR,46,30,0.7240372610096523,0.5666666666666667,183.35066666666668,0.7236908363321314,0.5666666666666667,184.63733333333332,0.5624931029814099,0.5333333333333333,175.76733333333334,0.4855320065146505,0.6333333333333333,181.95533333333336,0.6311081380111779,4.179316340461107,-0.16237726689211243,4.890547263681592,23.135580500235182,-3.6070155937582657,27.756218905472636,15.21182043636598,-3.849305253630984,17.587064676616915,199.01405432479382,-49.52709561079997,232.49253731343285,1.5777312368624985,-0.5279574623552792,1.8606965174129353,212.5,0.0,0.0,153.95854639055875,212.5,0.7333333333333333,178.05266666666665,0.6571895528734387,0.7666666666666667,180.74533333333332,0.6547226251224123,0.7666666666666667,180.74533333333332,0.5873930505879397,0.7,173.56066666666666,0.6152994683791683,0.7333333333333333,176.18866666666665,0.6311081380111779,0.7333333333333333,178.05266666666665
2019,201,WR,53,30,0.7247375077045216,0.6,154.87133333333333,0.7248496961732065,0.6,154.87133333333335,0.6224867951115829,0.6,164.85066666666668,0.4699505616920104,0.5333333333333333,145.28400000000002,0.5413339943921042,4.289347178002537,0.3647175030766988,4.781094527363184,26.277951796048757,0.35631224300662095,28.154228855721392,16.379024742408927,-0.24707526283429873,17.73134328358209,220.6691886254842,-12.867683709213718,234.75124378109453,1.55373898059809,-0.06808059915165623,1.800995024875622,219.5,0.0,0.0,178.78433716845143,219.5,0.7333333333333333,170.76866666666666,0.5513626834381551,0.7,173.102,0.5518464763747782,0.7,170.962,0.4656639475268808,0.6666666666666666,163.44466666666662,0.45050204552912304,0.7333333333333333,169.398,0.5413339943921042,0.7333333333333333,170.76866666666666
2020,208,WR,57,30,0.7716734319332742,0.6,172.7106666666667,0.7710471797792439,0.6,172.7106666666667,0.568163289649289,0.5333333333333333,165.5546666666667,0.4539749042269589,0.5666666666666667,168.56133333333338,0.4064186879309588,4.0226536818366165,0.18023013663162754,4.918269230769231,22.82232175519755,-0.7092700375515213,28.451923076923077,15.631300091995907,-2.4060543891472115,18.014423076923077,190.69413792091424,-21.779040110441823,231.66826923076923,1.6843147529274878,-0.23928552468333558,1.8269230769230769,217.5,1.0,0.0,195.81111941479384,218.5,0.6666666666666666,177.774,0.41923774954627957,0.7,174.24066666666667,0.4185895773917553,0.7,174.24066666666667,0.21412364928083502,0.6666666666666666,171.874,0.41014678913033376,0.7333333333333333,176.51400000000007,0.4064186879309588,0.6666666666666666,177.774
2021,217,WR,64,30,0.7103539176436047,0.6333333333333333,172.44799999999995,0.7102140401625862,0.6333333333333333,171.328,0.5860566231530691,0.5666666666666667,162.44333333333333,0.49151901042485496,0.6333333333333333,172.19133333333335,0.5226580656036864,4.249443174690831,-0.29435008976761945,5.009216589861751,23.43911421092942,0.476769063044196,27.4147465437788,15.610391616387215,0.10284561864988952,18.433179723502302,200.59620982374378,12.110725672932425,234.29032258064515,1.5798733483985419,0.09333888470461627,1.7880184331797235,188.0,0.0,0.0,231.53751915635198,188.0,0.7,175.352,0.44544923823017124,0.6666666666666666,173.28133333333335,0.44160304035677506,0.6666666666666666,171.50799999999998,0.3123346906402041,0.6333333333333333,168.47666666666666,0.28867209370538155,0.7,172.19133333333335,0.5226580656036864,0.7,175.352
2022,213,WR,43,30,0.7214976390040421,0.7333333333333333,185.69666666666666,0.721296322173331,0.7333333333333333,185.69666666666666,0.5678010491630514,0.7333333333333333,190.642,0.46697010763092667,0.6333333333333333,178.0553333333333,0.49103131421716445,4.417239076821519,-0.06957053409683393,5.089201877934272,23.310334253370367,0.6338457430716445,28.31924882629108,15.127911998628782,0.05210846434010058,18.1924882629108,198.73861583708944,4.3133535295257595,230.0,1.4037443602569297,0.24126817332099512,1.7511737089201878,199.0,0.0,0.0,209.33578358546126,199.0,0.7666666666666667,185.2853333333333,0.7405142150480925,0.8333333333333334,190.84533333333331,0.7382489528423779,0.8333333333333334,190.84533333333331,0.5797409586929249,0.8333333333333334,192.03200000000004,0.5385806860229227,0.8,187.30200000000002,0.49103131421716445,0.7666666666666667,185.2853333333333
2023,206,WR,67,30,0.7734704096249978,0.6,187.13866666666664,0.7734503227408482,0.6,187.13866666666664,0.6175143528303332,0.6333333333333333,185.1786666666667,0.5302542005998704,0.7333333333333333,198.838,0.580440115864124,4.270579569420241,-0.7792915996677082,5.092233009708738,21.31183220235926,-2.0474827456807496,24.606796116504853,14.221688969944264,-1.4375929685524862,16.325242718446603,182.60438739061541,-21.196740456016972,203.32038834951456,1.494484612502581,-0.03938014735729905,1.7233009708737863,221.0,0.0,0.0,187.1186389603975,221.0,0.6,181.31066666666666,0.6055811076714882,0.7,188.1153333333333,0.6014306951242653,0.7,188.1153333333333,0.597234225811091,0.7,183.5886666666667,0.6899876639818693,0.8,202.40466666666666,0.580440115864124,0.6,181.31066666666666
