overall_rank,player,position,projected_points,vbd,vbd_lo95,vbd_hi95,consensus_rank,delta_vs_consensus
1,Bijan Robinson,RB,303.16,168.68,132.59,217.92,2,1
2,Ja'Marr Chase,WR,276.48,153.04,135.65,172.67,1,-1
3,Jahmyr Gibbs,RB,268.08,133.59,105.01,172.59,4,1
4,Puka Nacua,WR,247.92,124.48,110.33,140.44,3,-1
5,Josh Allen,QB,359.01,113.71,57.0,155.25,25,20
6,Christian McCaffrey,RB,247.55,113.06,88.88,146.07,8,2
7,Jaxon Smith-Njigba,WR,231.21,107.77,95.52,121.59,5,-2
8,Jonathan Taylor,RB,232.99,98.5,77.43,127.26,10,2
9,Amon-Ra St. Brown,WR,219.35,95.91,85.01,108.21,6,-3
10,Ashton Jeanty,RB,221.69,87.21,68.55,112.66,14,4
11,CeeDee Lamb,WR,210.15,86.71,76.86,97.84,7,-4
12,Lamar Jackson,QB,324.78,79.48,39.84,108.51,32,20
13,Justin Jefferson,WR,202.64,79.2,70.2,89.36,9,-4
14,James Cook III,RB,212.47,77.98,61.29,100.74,17,3
15,Trey McBride,TE,180.31,73.02,52.82,93.16,15,0
16,Drake London,WR,196.29,72.85,64.57,82.19,11,-5
17,De'Von Achane,RB,204.66,70.17,55.16,90.66,18,1
18,A.J. Brown,WR,190.78,67.35,59.69,75.98,12,-6
19,Chase Brown,RB,197.9,63.41,49.85,81.93,19,0
20,Nico Collins,WR,185.93,62.49,55.39,70.51,13,-7
21,Drake Maye,QB,304.76,59.45,29.8,81.18,33,12
22,George Pickens,WR,181.59,58.15,51.54,65.61,16,-6
23,Omarion Hampton,RB,191.94,57.45,45.16,74.22,23,0
24,Chris Olave,WR,177.66,54.22,48.06,61.18,20,-4
25,Saquon Barkley,RB,186.61,52.12,40.97,67.33,26,1
26,Brock Bowers,TE,159.21,51.91,37.55,66.23,21,-5
27,Rashee Rice,WR,174.07,50.64,44.88,57.13,22,-5
28,DeVonta Smith,WR,170.78,47.34,41.96,53.41,24,-4
29,Kenneth Walker III,RB,181.78,47.29,37.18,61.1,30,1
30,Joe Burrow,QB,290.55,45.25,22.68,61.78,43,13
31,Garrett Wilson,WR,167.72,44.28,39.25,49.96,27,-4
32,Derrick Henry,RB,177.38,42.89,33.71,55.41,38,6
33,Tetairoa McMillan,WR,164.88,41.44,36.73,46.75,28,-5
34,Colston Loveland,TE,146.86,39.57,28.62,50.48,37,3
35,Breece Hall,RB,173.33,38.84,30.53,50.18,40,5
36,Zay Flowers,WR,162.22,38.78,34.37,43.75,29,-7
37,Tee Higgins,WR,159.72,36.28,32.16,40.93,31,-6
